author,score
"Collodi, Carlo, 1826-1890; Della Chiesa, Carol, 1887- [Translator]",3.7741497145758736
"Connor, Ralph, 1860-1937",4.0938140102054765
"Conrad, Joseph, 1857-1924",3.2404278618058346
"Coolidge, Susan, 1835-1905 [Contributor]; Miller, Francis Trevelyan, 1877-1959 [Contributor]; Powelson, Amy Therese, Mrs. [Contributor]; Sidney, Margaret, 1844-1924 [Contributor]",2.256365438302358
"Cooper, James Fenimore, 1789-1851",2.807149689014141
"Craik, Dinah Maria Mulock, 1826-1887",4.103062208961038
"Crawford, F. Marion (Francis Marion), 1854-1909",3.8765320937905536
"Curwood, James Oliver, 1878-1927",3.1994065243773666
"Daudet, Alphonse, 1840-1897",1.4385347700955573
"Daudet, Alphonse, 1840-1897; Blaydes, W. [Translator]",-1.865570749555315
"Davis, Richard Harding, 1864-1916",3.498094794226856
"Davis, Richard Harding, 1864-1916; Morris, Gouverneur, 1876-1953 [Author of introduction, etc.]",3.641305563018078
"Day, Holman, 1865-1935",4.441394264047796
"De la Mare, Walter, 1873-1956",2.932224724160966
"Deland, Margaret Wade Campbell, 1857-1945",3.627795696258545
"Dickens, Charles, 1812-1870",3.388544470907107
"Disraeli, Benjamin, Earl of Beaconsfield, 1804-1881",2.529888879685175
"Dodge, Mary Mapes, 1830-1905",4.3504365765771205
"Donnell, Annie Hamilton, 1862-1943",3.490767183757963
"Dostoyevsky, Fyodor, 1821-1881; Hogarth, C. J., 1869-1942 [Translator]",2.7649128105067
"Doyle, Arthur Conan, 1859-1930",3.4742333821082045
"Dumas, Alexandre, 1802-1870",3.722874307665722
"Dumas, Alexandre, 1824-1895",2.967689037322998
"Duncan, Sara Jeannette, 1861-1922",2.262236042022705
"Dunsany, Lord, 1878-1957",3.5536720752716064
"Eastman, Charles A., 1858-1939",2.6281005144119263
"Edgeworth, Maria, 1767-1849; Ritchie, Anne Thackeray, 1837-1919 [Author of introduction, etc.]",3.5576462745666504
"Eiríkr Magnússon, 1833-1913 [Translator]; Morris, William, 1834-1896 [Translator]",1.3078675737567977
"Emerson, Ralph Waldo, 1803-1882",1.7460642542157854
"Ferber, Edna, 1885-1968",2.9594904045005896
"Ferguson, W. B. M. (William Blair Morton), 1882-1967",1.9736376404762268
"Field, Ellen Robena",3.261037826538086
"Fielding, Sarah, 1710-1768",2.3501532673835754
"Fitzgerald, F. Scott (Francis Scott), 1896-1940",3.361187627945823
